charlie_pattern,delta_set,delta_entity,delta_mod1,delta_mod2,delta_sidc,label
"E*NPAE----*****",40,170105,00,00,10034000001701050000,"NATURAL EVENT GEOLOGIC SUBSIDENCE"
"WAS-WSVE--P----",40,170106,00,00,10034000001701060000,"NATURAL EVENT GEOLOGIC VOLCANIC ERUPTION"
"E*NPAG----*****",40,170107,00,00,10034000001701070000,"NATURAL EVENT GEOLOGIC VOLCANIC THREAT"
"E*NPBB----*****",40,170201,00,00,10034000001702010000,"NATURAL EVENT HYDRO METEOROLOGICAL DROUGHT"
"E*NPBC----*****",40,170202,00,00,10034000001702020000,"NATURAL EVENT HYDRO METEOROLOGICAL FLOOD"
"E*NPBM----*****",40,170203,00,00,10034000001702030000,"NATURAL EVENT HYDRO METEOROLOGICAL TSUNAMI"
"E*NPCA----*****",40,170301,00,00,10034000001703010000,"NATURAL EVENT INFESTATION BIRD"
"E*NPCB----*****",40,170302,00,00,10034000001703020000,"NATURAL EVENT INFESTATION INSECT"
"E*NPCC----*****",40,170303,00,00,10034000001703030000,"NATURAL EVENT INFESTATION MICROBIAL"
"E*NPCD----*****",40,170304,00,00,10034000001703040000,"NATURAL EVENT INFESTATION REPTILE"
"E*NPCE----*****",40,170305,00,00,10034000001703050000,"NATURAL EVENT INFESTATION RODENT"
"EFOPDD----*****",40,131501,00,00,10034000001315010000,"ATF"
"E*OPA-----*****",40,131300,00,00,10034000001313000000,"OPERATION EMERGENCY MEDICAL OP"
"E*OPC-----*****",40,131400,00,00,10034000001314000000,"FIRE FIGHTING OPERATION"
"O*PPF-----*****",40,110304,00,00,10034000001103040000,"INCIDENT IED EVENT SUICIDE BOMBER"
"S*APM-----*****",01,110000,00,00,10030100001100000000,"MILITARY"
"S*APMF----*****",01,110100,00,00,10030100001101000000,"MILITARY FIXED WING"
"S*APMFO---*****",01,110101,00,00,10030100001101010000,"MILITARY FIXED WING MEDEVAC"
"S*APMFA---*****",01,110102,00,00,10030100001101020000,"MILITARY FIXED WING ATTACK STRIKE"
"S*APMFB---*****",01,110103,00,00,10030100001101030000,"MILITARY FIXED WING BOMBER"
"S*APMFF---*****",01,110104,00,00,10030100001101040000,"MILITARY FIXED WING FIGHTER"
"S*APMFFI--*****",01,110102,05,00,10030100001101020500,"MILITARY FIXED WING ATTACK STRIKE INTERCEPTOR MOD"
"S*APMFC---*****",01,110107,00,00,10030100001101070000,"MILITARY FIXED WING CARGO"
"S*APMFCL--*****",01,110107,00,03,10030100001101070003,"MILITARY FIXED WING CARGO LT MOD"
"S*APMFCM--*****",01,110107,00,02,10030100001101070002,"MILITARY FIXED WING CARGO MED MOD"
"S*APMFCH--*****",01,110107,00,01,10030100001101070001,"MILITARY FIXED WING CARGO HVY MOD"
"S*APMFJ---*****",01,110108,00,00,10030100001101080000,"MILITARY FIXED WING ECJ"
"S*APMFK---*****",01,110109,00,00,10030100001101090000,"MILITARY FIXED WING TANKER"
"S*APMFKB--*****",01,110109,00,04,10030100001101090004,"MILITARY FIXED WING TANKER BOOM MOD"
"S*APMFKD--*****",01,110109,00,05,10030100001101090005,"MILITARY FIXED WING TANKER DROGUE MOD"
"S*APMFP---*****",01,110110,00,00,10030100001101100000,"MILITARY FIXED WING PATROL"
"S*APMFR---*****",01,110111,00,00,10030100001101110000,"MILITARY FIXED WING RECON"
"S*APMFT---*****",01,110112,00,00,10030100001101120000,"MILITARY FIXED WING TRAINER"
"S*APMFU---*****",01,110113,00,00,10030100001101130000,"MILITARY FIXED WING UTILITY"
"S*APMFUL--*****",01,110113,00,03,10030100001101130003,"MILITARY FIXED WING UTILITY LT MOD"
"S*APMFUM--*****",01,110113,00,02,10030100001101130002,"MILITARY FIXED WING UTILITY MED MOD"
"S*APMFUH--*****",01,110113,00,01,10030100001101130001,"MILITARY FIXED WING UTILITY HVY MOD"
"S*APMFL---*****",01,110114,00,00,10030100001101140000,"MILITARY FIXED WING VSTOL"
"S*APMFD---*****",01,110115,00,00,10030100001101150000,"MILITARY FIXED WING ACP"
"S*APMFRW--*****",01,110116,00,00,10030100001101160000,"MILITARY FIXED WING AEW"
"S*APMFPN--*****",01,110117,00,00,10030100001101170000,"MILITARY FIXED WING ASUW"
"S*APMFS---*****",01,110118,00,00,10030100001101180000,"MILITARY FIXED WING ASW"
"S*APMFY---*****",01,110119,00,00,10030100001101190000,"MILITARY FIXED WING COM"
"S*APMFH---*****",01,110120,00,00,10030100001101200000,"MILITARY FIXED WING CSAR"
"S*APMFRZ--*****",01,110121,00,00,10030100001101210000,"MILITARY FIXED WING ES"
"S*APMFPM--*****",01,110123,00,00,10030100001101230000,"MILITARY FIXED WING MCM"
"S*APMFM---*****",01,110126,00,00,10030100001101260000,"MILITARY FIXED WING SOF"
"S*APMFRX--*****",01,110128,00,00,10030100001101280000,"MILITARY FIXED WING PH"
"S*APMV----*****",01,110129,00,00,10030100001101290000,"MILITARY FIXED WING VIP"
"S*APME----*****",01,110132,00,00,10030100001101320000,"MILITARY FIXED WING E"
"S*APMH----*****",01,110200,00,00,10030100001102000000,"MILITARY ROTARY WING"
"S*APMHA---*****",01,110200,01,00,10030100001102000100,"MILITARY ROTARY WING ATTACK STRIKE MOD"
"S*APMHS---*****",01,110200,32,00,10030100001102003200,"MILITARY ROTARY WING ASUW MOD"
"S*APMHU---*****",01,110200,07,00,10030100001102000700,"MILITARY ROTARY WING UTILITY MOD"
"S*APMHUL--*****",01,110200,07,03,10030100001102000703,"MILITARY ROTARY WING UTILITY MOD LT MOD"
"S*APMHUM--*****",01,110200,07,02,10030100001102000702,"MILITARY ROTARY WING UTILITY MOD MED MOD"
"S*APMHUH--*****",01,110200,07,01,10030100001102000701,"MILITARY ROTARY WING UTILITY MOD HVY MOD"
"S*APMHI---*****",01,110200,25,00,10030100001102002500,"MILITARY ROTARY WING MCM MOD"
"S*APMHH---*****",01,110200,30,00,10030100001102003000,"MILITARY ROTARY WING CSAR MOD"
"S*APMHR---*****",01,110200,18,00,10030100001102001800,"MILITARY ROTARY WING RECON MOD"
"S*APMHC---*****",01,110200,03,00,10030100001102000300,"MILITARY ROTARY WING CARGO MOD"
"S*APMHCL--*****",01,110200,03,03,10030100001102000303,"MILITARY ROTARY WING CARGO MOD LT MOD"
"S*APMHCM--*****",01,110200,03,02,10030100001102000302,"MILITARY ROTARY WING CARGO MOD MED MOD"
"S*APMHCH--*****",01,110200,03,01,10030100001102000301,"MILITARY ROTARY WING CARGO MOD HVY MOD"
"S*APMHT---*****",01,110200,19,00,10030100001102001900,"MILITARY ROTARY WING TRAINER MOD"
"S*APMHO---*****",01,110200,14,00,10030100001102001400,"MILITARY ROTARY WING MEDEVAC MOD"
"S*APMHM---*****",01,110200,27,00,10030100001102002700,"MILITARY ROTARY WING SOF MOD"
"S*APMHD---*****",01,110200,11,00,10030100001102001100,"MILITARY ROTARY WING ACP MOD"
"S*APMHK---*****",01,110200,06,00,10030100001102000600,"MILITARY ROTARY WING TANKER MOD"
"S*APMHJ---*****",01,110200,16,00,10030100001102001600,"MILITARY ROTARY WING EC MOD"
"S*APMFQ---*****",01,110300,00,00,10030100001103000000,"MILITARY UAV"
"S*APMFQA--*****",01,110300,01,00,10030100001103000100,"MILITARY UAV ATTACK STRIKE MOD"
"S*APMFQB--*****",01,110300,02,00,10030100001103000200,"MILITARY UAV BOMBER MOD"
"S*APMFQC--*****",01,110300,03,00,10030100001103000300,"MILITARY UAV CARGO MOD"
"S*APMFQD--*****",01,110300,11,00,10030100001103001100,"MILITARY UAV ACP MOD"
"S*APMFQRW-*****",01,110300,12,00,10030100001103001200,"MILITARY UAV AEW MOD"
"S*APMFQF--*****",01,110300,04,00,10030100001103000400,"MILITARY UAV FIGHTER MOD"
"S*APMFQH--*****",01,110300,30,00,10030100001103003000,"MILITARY UAV CSAR MOD"
"S*APMFQJ--*****",01,110300,16,00,10030100001103001600,"MILITARY UAV EC MOD"
"S*APMFQRZ-*****",01,110300,24,00,10030100001103002400,"MILITARY UAV ES MOD"
"S*APMFQK--*****",01,110300,06,00,10030100001103000600,"MILITARY UAV TANKER MOD"
"S*APMFQL--*****",01,110300,08,00,10030100001103000800,"MILITARY UAV VSTOL MOD"
"S*APMFQM--*****",01,110300,27,00,10030100001103002700,"MILITARY UAV SOF MOD"
"S*APMFQI--*****",01,110300,25,00,10030100001103002500,"MILITARY UAV MCM MOD"
"S*APMFQN--*****",01,110300,32,00,10030100001103003200,"MILITARY UAV ASUW MOD"
"S*APMFQP--*****",01,110300,17,00,10030100001103001700,"MILITARY UAV PATROL MOD"
"S*APMFQR--*****",01,110300,18,00,10030100001103001800,"MILITARY UAV RECON MOD"
"S*APMFQRX-*****",01,110300,20,00,10030100001103002000,"MILITARY UAV PHOTO MOD"
"S*APMFQS--*****",01,110300,22,00,10030100001103002200,"MILITARY UAV ASW MOD"
"S*APMFQT--*****",01,110300,19,00,10030100001103001900,"MILITARY UAV TRAINER MOD"
"S*APMFQU--*****",01,110300,07,00,10030100001103000700,"MILITARY UAV UTILITY MOD"
"S*APMFQY--*****",01,110300,23,00,10030100001103002300,"MILITARY UAV COMMS MOD"
"S*APMFQO--*****",01,110300,14,00,10030100001103001400,"MILITARY UAV MEDEVAC MOD"
"S*APMHQ---*****",01,110400,00,00,10030100001104000000,"MILITARY VT UAV"
"S*APML----*****",01,110500,00,00,10030100001105000000,"MILITARY LIGHTER THAN AIR"
"S*APC-----*****",01,120000,00,00,10030100001200000000,"CIVILIAN"
"S*APCF----*****",01,120100,00,00,10030100001201000000,"CIVILIAN CIV FIXED WING"
"S*APCH----*****",01,120200,00,00,10030100001202000000,"CIVILIAN CIV ROTARY WING"
"S*APCL----*****",01,120400,00,00,10030100001204000000,"CIVILIAN CIV LTA"
"S*APW-----*****",01,130000,00,00,10030100001300000000,"WEAPON"
"S*APWB----*****",01,130100,00,00,10030100001301000000,"WEAPON BOMB"
"S*APWD----*****",01,130200,00,00,10030100001302000000,"WEAPON DECOY"
"S*AP------*****",01,000000,00,00,10030100000000000000,"AIR TRACK"
"S*APW-----*****",02,110000,00,00,10030200001100000000,"MISSILE"
"S*APWM----*****",02,110000,00,05,10030200001100000005,"MISSILE LAUNCHED MOD"
"S*APWMS---*****",02,110000,02,05,10030200001100000205,"MISSILE SURFACE MOD LAUNCHED MOD"
"S*APWMSB--*****",02,110000,05,00,10030200001100000500,"MISSILE AB MOD"
"S*APWMSS--*****",02,110000,02,02,10030200001100000202,"MISSILE SURFACE MOD SURFACE DEST MOD"
"S*APWMSA--*****",02,110000,02,01,10030200001100000201,"MISSILE SURFACE MOD AIR DEST MOD"
"S*APWMSU--*****",02,110000,02,03,10030200001100000203,"MISSILE SURFACE MOD SUB DEST MOD"
"S*APWMA---*****",02,110000,01,05,10030200001100000105,"MISSILE AIR MOD LAUNCHED MOD"
"S*APWMAS--*****",02,110000,01,02,10030200001100000102,"MISSILE AIR MOD SURFACE DEST MOD"
"S*APWMAA--*****",02,110000,01,01,10030200001100000101,"MISSILE AIR MOD AIR DEST MOD"
"S*APWMAP--*****",02,110000,01,04,10030200001100000104,"MISSILE AIR MOD SPACE DEST MOD"
"S*APWMU---*****",02,110000,03,02,10030200001100000302,"MISSILE SUB MOD SURFACE DEST MOD"
"S*APWMCM--*****",02,110000,07,06,10030200001100000706,"MISSILE CRUISE MOD MISSILE MOD"
"S*APWMB---*****",02,110000,06,06,10030200001100000606,"MISSILE BALLISTIC MOD MISSILE MOD"
"WAS-PL----P----",45,110100,00,00,10034500001101000000,"PRESSURE SYSTEMS LOW PRESSURE CENTER"
"WAS-PC----P----",45,110101,00,00,10034500001101010000,"PRESSURE SYSTEMS LOW PRESSURE CENTER CYCLONE CENTER"
"WAS-PLT---P----",45,110102,00,00,10034500001101020000,"PRESSURE SYSTEMS LOW PRESSURE CENTER TROPOPAUSE LOW"
"WAS-PH----P----",45,110200,00,00,10034500001102000000,"PRESSURE SYSTEMS HIGH PRESSURE CENTER"
"WAS-PA----P----",45,110201,00,00,10034500001102010000,"PRESSURE SYSTEMS HIGH PRESSURE CENTER ANTICYCLONE CENTER"
"WAS-PHT---P----",45,110202,00,00,10034500001102020000,"PRESSURE SYSTEMS HIGH PRESSURE CENTER TROPOPAUSE HIGH"
"WA-DPFC----L---",45,110301,00,00,10034500001103010000,"PRESSURE SYSTEMS FRONTAL SYSTEMS COLD FRONT"
"WA-DPFCU---L---",45,110302,00,00,10034500001103020000,"PRESSURE SYSTEMS FRONTAL SYSTEMS UPPER COLD FRONT"
"WA-DPFC-FG-L---",45,110303,00,00,10034500001103030000,"PRESSURE SYSTEMS FRONTAL SYSTEMS COLD FRONTOGENESIS"
"WA-DPFC-FY-L---",45,110304,00,00,10034500001103040000,"PRESSURE SYSTEMS FRONTAL SYSTEMS COLD FRONTOLYSIS"
"WA-DPFW----L---",45,110305,00,00,10034500001103050000,"PRESSURE SYSTEMS FRONTAL SYSTEMS WARM FRONT"
"WA-DPFWU---L---",45,110306,00,00,10034500001103060000,"PRESSURE SYSTEMS FRONTAL SYSTEMS UPPER WARM FRONT"
"WA-DPFW-FG-L---",45,110307,00,00,10034500001103070000,"PRESSURE SYSTEMS FRONTAL SYSTEMS WARM FRONTOGENESIS"
"WA-DPFW-FY-L---",45,110308,00,00,10034500001103080000,"PRESSURE SYSTEMS FRONTAL SYSTEMS WARM FRONTOLYSIS"
"WA-DPFO----L---",45,110309,00,00,10034500001103090000,"PRESSURE SYSTEMS FRONTAL SYSTEMS OCCLUDED FRONT"
"WA-DPFOU---L---",45,110310,00,00,10034500001103100000,"PRESSURE SYSTEMS FRONTAL SYSTEMS UPPER OCCLUDED FRONT"
"WA-DPFO-FY-L---",45,110311,00,00,10034500001103110000,"PRESSURE SYSTEMS FRONTAL SYSTEMS OCCLUDED FRONTOLYSIS"
"WA-DPFS----L---",45,110312,00,00,10034500001103120000,"PRESSURE SYSTEMS FRONTAL SYSTEMS STATIONARY FRONT"
"WA-DPFSU---L---",45,110313,00,00,10034500001103130000,"PRESSURE SYSTEMS FRONTAL SYSTEMS UPPER STATIONARY FRONT"
"WA-DPFS-FG-L---",45,110314,00,00,10034500001103140000,"PRESSURE SYSTEMS FRONTAL SYSTEMS STATIONARY FRONTOGENESIS"
