family,code,label
delta,45161201,"Weather Symbols / Ice Pellets (Sleet) / Light"
delta,45161202,"Weather Symbols / Ice Pellets (Sleet) / Moderate"
delta,45161203,"Weather Symbols / Ice Pellets (Sleet) / Heavy"
delta,45161300,"Weather Symbols / Inversion"
delta,45161400,"Weather Symbols / Storms"
delta,45161401,"Weather Symbols / Storms / Thunderstorm - No Precipitation"
delta,45161402,"Weather Symbols / Storms / Thunderstorm Light to Moderate with Rain/Snow - No Hail"
delta,45161403,"Weather Symbols / Storms / Thunderstorm Heavy with Rain/Snow - No Hail"
delta,45161404,"Weather Symbols / Storms / Thunderstorm Light to Moderate - With Hail"
delta,45161405,"Weather Symbols / Storms / Thunderstorm Heavy - With Hail"
delta,45161406,"Weather Symbols / Storms / Funnel Cloud (Tornado/Waterspout)"
delta,45161407,"Weather Symbols / Storms / Squall"
delta,45161408,"Weather Symbols / Storms / Lightning"
delta,45161500,"Weather Symbols / Fog"
delta,45161501,"Weather Symbols / Fog / Shallow Patches"
delta,45161502,"Weather Symbols / Fog / Shallow Continuous"
delta,45161503,"Weather Symbols / Fog / Patchy"
delta,45161504,"Weather Symbols / Fog / Sky Visible"
delta,45161505,"Weather Symbols / Fog / Sky Obscured"
delta,45161506,"Weather Symbols / Fog / Freezing-Sky Visible"
delta,45161507,"Weather Symbols / Fog / Freezing-Sky Obscured"
delta,45161600,"Weather Symbols / Mist"
delta,45161700,"Weather Symbols / Smoke"
delta,45161800,"Weather Symbols / Haze"
delta,45161900,"Weather Symbols / Dust or Sand"
delta,45161901,"Weather Symbols / Dust or Sand / Light to Moderate"
delta,45161902,"Weather Symbols / Dust or Sand / Severe"
delta,45161903,"Weather Symbols / Dust or Sand / Dust Devil"
delta,45161904,"Weather Symbols / Dust or Sand / Blowing Dust or Sand"
delta,45162000,"Weather Symbols / Tropical Storm Systems"
delta,45162001,"Weather Symbols / Tropical Storm Systems / Tropical Depression"
delta,45162002,"Weather Symbols / Tropical Storm Systems / Tropical Storm"
delta,45162003,"Weather Symbols / Tropical Storm Systems / Hurricane/Typhoon"
delta,45162004,"Weather Symbols / Tropical Storm Systems / Tropical Storm Wind Areas and Date/Time Labels"
delta,45162100,"Weather Symbols / Volcanic Eruption"
delta,45162101,"Weather Symbols / Volcanic Eruption / Volcanic Ash"
delta,45162200,"Weather Symbols / Tropopause Level"
delta,45162300,"Weather Symbols / Freezing Level"
delta,45162400,"Weather Symbols / Precipitation of Unknown Type and Intensity"
delta,45170000,"Bounded Areas of Weather"
delta,45170100,"Bounded Areas of Weather / Instrument Flight Rule (IFR)"
delta,45170200,"Bounded Areas of Weather / Marginal Visual Flight Rule (MVFR)"
delta,45170300,"Bounded Areas of Weather / Turbulence"
delta,45170400,"Bounded Areas of Weather / Icing"
delta,45170500,"Bounded Areas of Weather / Liquid Precipitation - Non-Convective Continuous or Intermittent"
delta,45170501,"Bounded Areas of Weather / Liquid Precipitation - Non-Convective Continuous or Intermittent / Liquid Precipitation - Convective"
delta,45170600,"Bounded Areas of Weather / Freezing /Frozen Precipitation"
delta,45170700,"Bounded Areas of Weather / Thunderstorm"
delta,45170800,"Bounded Areas of Weather / Fog"
delta,45170900,"Bounded Areas of Weather / Dust or Sand"
delta,45171000,"Bounded Areas of Weather / Operator-Defined Freeform"
delta,45180000,"Isopleths"
delta,45180100,"Isopleths / Isobar - Surface"
delta,45180200,"Isopleths / Contour - Upper Air"
delta,45180300,"Isopleths / Isotherm"
delta,45180400,"Isopleths / Isotach"
delta,45180500,"Isopleths / Isodrosotherm"
delta,45180600,"Isopleths / Thickness"
delta,45180700,"Isopleths / Operator-Defined Freeform"
delta,45190000,"State of the Ground"
delta,45190100,"State of the Ground / Without Snow or Measurable Ice Cover"
delta,45190101,"State of the Ground / Without Snow or Measurable Ice Cover / Surface Dry Without Cracks or Appreciable Dust or Loose Sand"
delta,45190102,"State of the Ground / Without Snow or Measurable Ice Cover / Surface Moist"
delta,45190103,"State of the Ground / Without Snow or Measurable Ice Cover / Surface Wet-Standing Water in Small or Large Pools"
delta,45190104,"State of the Ground / Without Snow or Measurable Ice Cover / Surface Flooded"
delta,45190105,"State of the Ground / Without Snow or Measurable Ice Cover / Surface Frozen"
delta,45190106,"State of the Ground / Without Snow or Measurable Ice Cover / Glaze (Thin Ice) on Ground"
delta,45190107,"State of the Ground / Without Snow or Measurable Ice Cover / Loose Dry Dust or Sand not Covering Ground Completely"
delta,45190108,"State of the Ground / Without Snow or Measurable Ice Cover / Thin Loose Dry Dust or Sand Covering Ground Completely"
delta,45190109,"State of the Ground / Without Snow or Measurable Ice Cover / Moderate/Thick Loose Dry Dust or Sand Covering Ground Completely"
delta,45190110,"State of the Ground / Without Snow or Measurable Ice Cover / Extremely Dry with Cracks"
delta,45190200,"State of the Ground / With Snow or Measurable Ice Cover"
delta,45190201,"State of the Ground / With Snow or Measurable Ice Cover / Predominately Ice Covered"
delta,45190202,"State of the Ground / With Snow or Measurable Ice Cover / Compact or Wet Snow (with or without Ice) Covering Less Than One-Half of Ground"
delta,45190203,"State of the Ground / With Snow or Measurable Ice Cover / Compact or Wet Snow (with or without Ice) Covering  at Least One-Half of Ground-but Ground not Completely Covered"
delta,45190204,"State of the Ground / With Snow or Measurable Ice Cover / Even Layer of Compact or Wet Snow Covering Ground Completely"
delta,45190205,"State of the Ground / With Snow or Measurable Ice Cover / Uneven Layer of Compact or Wet Snow Covering Ground Completely"
delta,45190206,"State of the Ground / With Snow or Measurable Ice Cover / Loose Dry Snow Covering Less Than One-Half of Ground"
delta,45190207,"State of the Ground / With Snow or Measurable Ice Cover / Loose Dry Snow Covering at Least One-Half of Ground-but Ground not Completely Covered"
delta,45190208,"State of the Ground / With Snow or Measurable Ice Cover / Even Layer of Loose Dry Snow Covering Ground Completely"
delta,45190209,"State of the Ground / With Snow or Measurable Ice Cover / Uneven Layer of Loose Dry Snow Covering Ground Completely"
delta,45190210,"State of the Ground / With Snow or Measurable Ice Cover / Snow Covering Ground Completely-Deep Drifts"
delta,25110000,"Command and Control Lines"
delta,25110100,"Command and Control Lines / Boundary"
delta,25110200,"Command and Control Lines / Light Line"
delta,25120000,"Command and Control Areas"
delta,25120100,"Command and Control Areas / Area of Operations"
delta,25120200,"Command and Control Areas / Named Area of Interest"
